Year,Team,NAME ,No.,Pos,Ht,Wt,Age,Exp,College,FirstName,LastName,Ft,In,Inches,,,,,
2010,Arizona,Steve Breaston ,15,WR , 6-0 ,189,26,3,Michigan,Steve,Breaston ,6,0 ,72,,,,,
2010,New Orleans,Drew Brees ,9,QB , 6-0 ,209,31,9,Purdue,Drew,Brees ,6,0 ,72,,,,,
2010,Arizona,Jeremy Bridges ,73,G , 6-4 ,326,29,6,Southern Mississippi,Jeremy,Bridges ,6,4 ,76,,,,,
2010,Arizona,Nehemiah Broughton ,32,FB , 5-11 ,257,28,3,The Citadel,Nehemiah,Broughton ,5,11 ,71,,,,,
2010,Arizona,Cody Brown ,52,LB , 6-3 ,244,23,R ,Connecticut,Cody,Brown ,6,3 ,75,,,,,
2010,New Orleans,Jammal Brown ,70,OT , 6-6 ,313,28,5,Oklahoma,Jammal,Brown ,6,6 ,78,,,,,
2010,Arizona,Levi Brown ,75,OT , 6-5 ,324,25,3,Penn State,Levi,Brown ,6,5 ,77,,,,,
2010,Arizona,Ralph Brown ,20,CB , 5-10 ,185,31,10,Nebraska,Ralph,Brown ,5,10 ,70,,,,,
2010,New Orleans,Mark Brunell ,11,QB , 6-1 ,217,39,17,Washington,Mark,Brunell ,6,1 ,73,,,,,
2010,New Orleans,Reggie Bush ,25,RB , 6-0 ,203,24,4,USC,Reggie,Bush ,6,0 ,72,,,,,
2010,New Orleans,Jermon Bushrod ,74,OT , 6-5 ,315,25,3,Towson,Jermon,Bushrod ,6,5 ,77,,,,,
2010,Arizona,Calais Campbell ,93,DE , 6-8 ,290,23,2,Miami (Fla.),Calais,Campbell ,6,8 ,80,,,,,
2010,New Orleans,Dan Campbell ,89,TE , 6-5 ,265,33,11,Texas A&M,Dan,Campbell ,6,5 ,77,,,,,
2010,New Orleans,Jonathan Casillas ,52,LB , 6-1 ,227,22,R ,Wisconsin,Jonathan,Casillas ,6,1 ,73,,,,,
2010,New Orleans,Jeff Charleston ,97,DE , 6-4 ,265,26,3,Idaho State,Jeff,Charleston ,6,4 ,76,,,,,
2010,New Orleans,Kendrick Clancy ,71,DT , 6-1 ,305,31,10,Mississippi,Kendrick,Clancy ,6,1 ,73,,,,,
2010,Arizona,Jeremy Clark ,71,DT , 6-3 ,309,26,1,Alabama,Jeremy,Clark ,6,3 ,75,,,,,
2010,Arizona,Ben Claxton ,62,C , 6-2 ,301,29,3,Mississippi,Ben,Claxton ,6,2 ,74,,,,,
2010,New Orleans,Marques Colston ,12,WR , 6-4 ,225,26,4,Hofstra,Marques,Colston ,6,4 ,76,,,,,
2010,New Orleans,Chase Daniel ,10,QB , 6-0 ,218,23,R ,Missouri,Chase,Daniel ,6,0 ,72,,,,,
2010,Arizona,Karlos Dansby ,58,LB , 6-4 ,250,28,6,Auburn,Karlos,Dansby ,6,4 ,76,,,,,
2010,Arizona,Will Davis ,59,LB , 6-2 ,261,23,R ,Illinois,Will,Davis ,6,2 ,74,,,,,
2010,New Orleans,Darnell Dinkins ,80,TE , 6-4 ,260,32,8,Pittsburgh,Darnell,Dinkins ,6,4 ,76,,,,,
2010,Arizona,Darnell Dockett ,90,DT , 6-4 ,285,28,6,Florida State,Darnell,Dockett ,6,4 ,76,,,,,
2010,Arizona,Early Doucet ,80,WR , 6-0 ,212,24,2,Louisiana State,Early,Doucet ,6,0 ,72,,,,,
2010,New Orleans,Jo-Lonn Dunbar ,56,LB , 6-0 ,226,24,2,Boston College,Jo-Lonn,Dunbar ,6,0 ,72,,,,,
2010,New Orleans,Kyle Eckel ,36,FB , 5-11 ,237,28,3,Navy,Kyle,Eckel ,5,11 ,71,,,,,
2010,New Orleans,Sedrick Ellis ,98,DT , 6-1 ,307,24,2,USC,Sedrick,Ellis ,6,1 ,73,,,,,
2010,New Orleans,Heath Evans ,44,FB , 6-0 ,250,31,9,Auburn,Heath,Evans ,6,0 ,72,,,,,
2010,New Orleans,Jahri Evans ,73,G , 6-4 ,318,26,4,Bloomsburg,Jahri,Evans ,6,4 ,76,,,,,
2010,New Orleans,Troy Evans ,54,LB , 6-3 ,238,32,8,Cincinnati,Troy,Evans ,6,3 ,75,,,,,
2010,Arizona,Larry Fitzgerald ,11,WR , 6-3 ,217,26,6,Pittsburgh,Larry,Fitzgerald ,6,3 ,75,,,,,
2010,Arizona,Wilrey Fontenot ,23,CB , 5-10 ,169,25,1,Arizona,Wilrey,Fontenot ,5,10 ,70,,,,,
2010,New Orleans,Scott Fujita ,55,LB , 6-5 ,250,30,8,California,Scott,Fujita ,6,5 ,77,,,,,
2010,Arizona,Mike Gandy ,69,OT , 6-4 ,316,31,9,Notre Dame,Mike,Gandy ,6,4 ,76,,,,,
2010,New Orleans,Randall Gay ,20,CB , 5-11 ,190,27,6,Louisiana State,Randall,Gay ,5,11 ,71,,,,,
2010,New Orleans,Jonathan Goodwin ,76,G , 6-3 ,318,31,8,Michigan,Jonathan,Goodwin ,6,3 ,75,,,,,
2010,Arizona,Ben Graham ,5,P , 6-5 ,235,36,5,Deakin (Australia) ,Ben,Graham ,6,5 ,77,,,,,
